date,book_id,book_name,author,collection_count,daily_growth
2026-03-24,9652162,真假少爷的豪门偏执妈[八零],斐侧,603,0
2026-03-24,9456285,你就那么喜欢他？,玖宝,889,0
2026-03-24,9852102,被卧底目标强制喜欢了,念轻弦,1399,0
2026-03-24,8943151,幕后热吻[破镜重圆],晓鱼干,871,0
2026-03-24,10269620,病美人被Daddy娇养后,elevenam,633,0
2026-03-24,10304559,钓系Omega总想占有我,春归昼,2962,0
2026-03-24,9773492,寻真,红酒杯里装狗血,3600,0
2026-03-24,9121068,娇妻决定离婚了,柚子猫,2082,0
2026-03-24,9628524,捡到仇人的小妻子后,栖止不定,2561,0
2026-03-24,7328988,七零觉醒，缺德上大分,半秋山月,1366,0
2026-03-25,10304559,钓系Omega总想占有我,春归昼,3615,653
2026-03-25,9773492,寻真,红酒杯里装狗血,3600,0
2026-03-25,9628524,捡到仇人的小妻子后,栖止不定,3965,1404
2026-03-25,7328988,七零觉醒，缺德上大分,半秋山月,1520,154
2026-03-25,9773492,寻真,红酒杯里装狗血,5511,1911
2026-03-25,9121068,娇妻决定离婚了,柚子猫,5770,3688
2026-03-25,9628524,捡到仇人的小妻子后,栖止不定,4087,1526
2026-03-25,7328988,七零觉醒，缺德上大分,半秋山月,1569,203
2026-03-26,10304559,钓系Omega总想占有我,春归昼,3882,267
2026-03-26,9773492,寻真,红酒杯里装狗血,5511,1911
2026-03-26,9121068,娇妻决定离婚了,柚子猫,5776,6
2026-03-26,9628524,捡到仇人的小妻子后,栖止不定,4110,145
2026-03-26,7328988,七零觉醒，缺德上大分,半秋山月,1581,61
2026-03-27,10304559,钓系Omega总想占有我,春归昼,3991,109
2026-03-27,9121068,娇妻决定离婚了,柚子猫,5884,108
2026-03-27,9628524,捡到仇人的小妻子后,栖止不定,4219,109
2026-03-27,7328988,七零觉醒，缺德上大分,半秋山月,1602,21
2026-03-28,10304559,钓系Omega总想占有我,春归昼,4067,76
2026-03-28,9773492,寻真,红酒杯里装狗血,5727,0
2026-03-28,9121068,娇妻决定离婚了,柚子猫,5976,92
2026-03-28,9628524,捡到仇人的小妻子后,栖止不定,4282,63
2026-03-28,7328988,七零觉醒，缺德上大分,半秋山月,1634,32
2026-03-29,10304559,钓系Omega总想占有我,春归昼,4212,145
2026-03-29,9773492,寻真,红酒杯里装狗血,5727,0
2026-03-29,9121068,娇妻决定离婚了,柚子猫,6046,70
2026-03-29,9628524,捡到仇人的小妻子后,栖止不定,4478,196
2026-03-29,7328988,七零觉醒，缺德上大分,半秋山月,1652,18
2026-03-30,9773492,寻真,红酒杯里装狗血,5896,169
2026-03-30,9628524,捡到仇人的小妻子后,栖止不定,4538,60
2026-03-30,7328988,七零觉醒，缺德上大分,半秋山月,1705,53
2026-03-31,10304559,钓系Omega总想占有我,春归昼,4338,0
2026-03-31,9773492,寻真,红酒杯里装狗血,6003,107
2026-03-31,9121068,娇妻决定离婚了,柚子猫,6191,0
2026-03-31,9628524,捡到仇人的小妻子后,栖止不定,4638,100
2026-03-31,7328988,七零觉醒，缺德上大分,半秋山月,1733,28
2026-04-01,10304559,钓系Omega总想占有我,春归昼,4412,74
2026-04-01,9773492,寻真,红酒杯里装狗血,6003,0
2026-04-01,9121068,娇妻决定离婚了,柚子猫,6223,32
2026-04-01,9628524,捡到仇人的小妻子后,栖止不定,4688,50
2026-04-01,7328988,七零觉醒，缺德上大分,半秋山月,1747,14
2026-04-02,10304559,钓系Omega总想占有我,春归昼,4440,28
2026-04-02,9773492,寻真,红酒杯里装狗血,6187,184
2026-04-02,9121068,娇妻决定离婚了,柚子猫,6238,15
2026-04-02,9628524,捡到仇人的小妻子后,栖止不定,4724,36
2026-04-02,7328988,七零觉醒，缺德上大分,半秋山月,1759,12
2026-04-04,9121068,娇妻决定离婚了,柚子猫,6288,0
2026-04-05,10304559,钓系Omega总想占有我,春归昼,4871,0
2026-04-05,9773492,寻真,红酒杯里装狗血,6290,0
2026-04-05,9121068,娇妻决定离婚了,柚子猫,6341,53
2026-04-05,9628524,捡到仇人的小妻子后,栖止不定,4861,0
2026-04-05,7328988,七零觉醒，缺德上大分,半秋山月,2000,0
2026-04-06,10304559,钓系Omega总想占有我,春归昼,5085,214
2026-04-06,9773492,寻真,红酒杯里装狗血,6330,40
2026-04-06,9121068,娇妻决定离婚了,柚子猫,6368,27
2026-04-06,9628524,捡到仇人的小妻子后,栖止不定,4871,10
2026-04-07,10304559,钓系Omega总想占有我,春归昼,5289,204
2026-04-07,9773492,寻真,红酒杯里装狗血,6330,0
2026-04-07,9628524,捡到仇人的小妻子后,栖止不定,5043,172
2026-04-07,7328988,七零觉醒，缺德上大分,半秋山月,2203,0
2026-04-08,10304559,钓系Omega总想占有我,春归昼,5414,125
2026-04-08,9773492,寻真,红酒杯里装狗血,6330,0
2026-04-08,9628524,捡到仇人的小妻子后,栖止不定,5212,169
2026-04-08,7328988,七零觉醒，缺德上大分,半秋山月,2279,76
2026-04-09,10304559,钓系Omega总想占有我,春归昼,5522,108
2026-04-09,9773492,寻真,红酒杯里装狗血,6330,0
2026-04-09,9121068,娇妻决定离婚了,柚子猫,6506,0
2026-04-09,9628524,捡到仇人的小妻子后,栖止不定,5276,64
2026-04-09,7328988,七零觉醒，缺德上大分,半秋山月,2399,120
2026-04-10,10304559,钓系Omega总想占有我,春归昼,5641,119
2026-04-10,9773492,寻真,红酒杯里装狗血,6330,0
2026-04-10,9121068,娇妻决定离婚了,柚子猫,6563,57
2026-04-10,9628524,捡到仇人的小妻子后,栖止不定,5355,79
2026-04-11,9773492,寻真,红酒杯里装狗血,6330,0
2026-04-11,9121068,娇妻决定离婚了,柚子猫,6630,67
2026-04-11,9628524,捡到仇人的小妻子后,栖止不定,5393,38
2026-04-11,7328988,七零觉醒，缺德上大分,半秋山月,2841,0
2026-04-12,9773492,寻真,红酒杯里装狗血,6487,157
2026-04-12,9121068,娇妻决定离婚了,柚子猫,6682,52
2026-04-12,9628524,捡到仇人的小妻子后,栖止不定,5427,34
2026-04-12,7328988,七零觉醒，缺德上大分,半秋山月,2967,126
2026-04-13,10304559,钓系Omega总想占有我,春归昼,5844,0
2026-04-13,9773492,寻真,红酒杯里装狗血,6519,32
2026-04-13,9121068,娇妻决定离婚了,柚子猫,6741,59
2026-04-13,9628524,捡到仇人的小妻子后,栖止不定,5485,58
2026-04-13,7328988,七零觉醒，缺德上大分,半秋山月,3248,281
2026-04-14,10304559,钓系Omega总想占有我,春归昼,5884,40
2026-04-14,9773492,寻真,红酒杯里装狗血,6519,0
2026-04-14,9121068,娇妻决定离婚了,柚子猫,6790,49
2026-04-14,9628524,捡到仇人的小妻子后,栖止不定,5518,33
2026-04-25,10304559,钓系Omega总想占有我,春归昼,6349,0
2026-04-25,9773492,寻真,红酒杯里装狗血,6952,0
2026-04-25,9628524,捡到仇人的小妻子后,栖止不定,6039,0
2026-04-25,7328988,七零觉醒，缺德上大分,半秋山月,6013,0
